"CellType","Consensus"
"CAFs",40.7290682543251
"Cancer Epithelial",16.6636143974918
"Normal Epithelial",13.2665507505267
"Endothelial",11.9944520112511
"Myeloid",6.90651625590707
"Plasmablasts",3.02812956510198
"T-cells",2.82633396814747
"PVL",2.49761718316287
"B-cells",2.08771761408589
