"CellType","Consensus"
"CAFs",43.4662918678451
"Normal Epithelial",14.7755661809688
"Endothelial",11.2402054191717
"Cancer Epithelial",10.7502150972948
"Myeloid",7.48046782912943
"Plasmablasts",3.5589514513342
"T-cells",3.3371377975391
"PVL",2.84419364999951
"B-cells",2.54697070671748
