"","MuSiC","NNLS","BisqueRNA","dtangle","BayesPrism"
"MuSiC",1,0.604529947559029,0.208076566830505,0.604529947559029,0.774252080954093
"NNLS",0.604529947559029,1,0.127960131513941,1,0.464863979997682
"BisqueRNA",0.208076566830505,0.127960131513941,1,0.127960131513941,0.233012650671935
"dtangle",0.604529947559029,1,0.127960131513941,1,0.464863979997682
"BayesPrism",0.774252080954093,0.464863979997682,0.233012650671935,0.464863979997682,1
