"","MuSiC","NNLS","BisqueRNA","dtangle","BayesPrism","CIBERSORTx"
"MuSiC",1,0.604529947559029,0.208076566830505,0.604529947559029,0.774252080954093,0.926291422983038
"NNLS",0.604529947559029,1,0.127960131513941,1,0.464863979997682,0.742998358448515
"BisqueRNA",0.208076566830505,0.127960131513941,1,0.127960131513941,0.233012650671935,0.18352287877575
"dtangle",0.604529947559029,1,0.127960131513941,1,0.464863979997682,0.742998358448515
"BayesPrism",0.774252080954093,0.464863979997682,0.233012650671935,0.464863979997682,1,0.739172888225214
"CIBERSORTx",0.926291422983038,0.742998358448515,0.18352287877575,0.742998358448515,0.739172888225214,1
