"CellType","Consensus","SD"
"CAFs",42.2351955625145,20.1347347921198
"Cancer Epithelial",16.8796328193747,13.4910658031769
"Endothelial",13.3949830887008,11.735692626091
"Normal Epithelial",11.7383214265699,10.3580990922798
"Myeloid",6.66104906575889,3.50786942457694
"Plasmablasts",2.58863262255549,3.31180804882031
"T-cells",2.35527830678956,5.39029369086617
"PVL",2.12926288493798,4.23591891080076
"B-cells",2.01764422279824,4.02799540111153
